    Finished `release` profile [optimized] target(s) in 0.17s
     Running `target/release/examples/histogram_accuracy`
# EquiDepthHistogram 1D
dist,n,buckets,p50,p95,p99,max,p95_ci_lo,p95_ci_hi
uniform,10000,32,0.0023,0.0307,0.1228,3.0000,0.0349,0.0437
uniform,10000,64,0.0016,0.0217,0.1029,2.0000,0.0240,0.0308
uniform,10000,128,0.0012,0.0152,0.0769,3.0000,0.0174,0.0221
uniform,10000,256,0.0008,0.0110,0.0569,3.0000,0.0125,0.0168
uniform,100000,32,0.0007,0.0090,0.0357,3.0000,0.0106,0.0117
uniform,100000,64,0.0005,0.0071,0.0302,3.0000,0.0079,0.0092
uniform,100000,128,0.0004,0.0049,0.0230,2.0000,0.0054,0.0072
uniform,100000,256,0.0003,0.0035,0.0183,1.0000,0.0042,0.0045
uniform,1000000,32,0.0002,0.0030,0.0122,2.0000,0.0035,0.0044
uniform,1000000,64,0.0002,0.0023,0.0102,0.7500,0.0026,0.0033
uniform,1000000,128,0.0001,0.0015,0.0076,0.3158,0.0017,0.0021
uniform,1000000,256,0.0001,0.0011,0.0053,1.0000,0.0012,0.0014
gaussian,10000,32,0.0181,1.7917,15.0000,146.0000,2.4118,22.0000
gaussian,10000,64,0.0074,0.6047,7.3333,64.0000,0.9268,2.3684
gaussian,10000,128,0.0033,0.3824,4.2000,39.0000,0.6618,3.0000
gaussian,10000,256,0.0014,0.2000,2.5000,21.0000,0.3333,0.8182
gaussian,100000,32,0.0220,7.1553,92.4545,1162.0000,13.0000,37.0000
gaussian,100000,64,0.0095,2.6608,35.3333,526.0000,4.0472,6.8889
gaussian,100000,128,0.0043,1.4552,26.0000,260.0000,2.5267,5.5333
gaussian,100000,256,0.0018,0.4916,8.2500,75.0000,0.6514,0.7586
gaussian,1000000,32,0.0248,23.3803,382.0000,5194.0000,42.5399,49.8732
gaussian,1000000,64,0.0108,8.2051,141.7333,3752.0000,12.9067,20.6976
gaussian,1000000,128,0.0050,5.3440,114.0000,2543.0000,9.5756,30.1538
gaussian,1000000,256,0.0023,2.6780,57.5000,1118.0000,4.5125,26.6119
zipfian,10000,32,0.1429,0.8283,2.0000,32.6667,1.0473,2.8571
zipfian,10000,64,0.0517,0.8230,1.9355,15.2000,1.1273,1.4444
zipfian,10000,128,0.0210,0.3500,1.0000,25.0000,0.4545,0.8000
zipfian,10000,256,0.0124,0.2027,0.7500,10.0000,0.2500,0.2877
zipfian,100000,32,0.1226,0.6194,0.8803,4.6667,0.7373,0.7705
zipfian,100000,64,0.0541,0.5601,0.9423,4.0000,0.7579,1.0619
zipfian,100000,128,0.0090,0.2499,1.1189,10.9130,0.3451,0.4139
zipfian,100000,256,0.0044,0.1020,0.3781,8.8333,0.1250,0.1333
zipfian,1000000,32,0.1202,0.5891,0.7734,2.5000,0.6167,0.6500
zipfian,1000000,64,0.0626,0.5018,0.6941,2.0000,0.5523,0.5886
zipfian,1000000,128,0.0064,0.2858,1.4396,4.5962,0.3420,0.4404
zipfian,1000000,256,0.0023,0.0797,0.3015,1.9189,0.0946,0.1068
lognormal,10000,32,0.3454,36.0000,83.0000,178.0000,63.0000,92.0000
lognormal,10000,64,0.2117,23.0000,53.0000,115.0000,36.0000,73.0000
lognormal,10000,128,0.0926,12.6667,31.0000,60.0000,16.5000,42.0000
lognormal,10000,256,0.0363,4.5000,12.0000,26.0000,8.0000,15.0000
lognormal,100000,32,1.5586,221.0000,618.0000,1412.0000,397.0000,622.0000
lognormal,100000,64,0.7975,147.0000,369.0000,831.0000,230.0000,470.0000
lognormal,100000,128,0.3549,58.0000,167.0000,390.0000,118.0000,154.0000
lognormal,100000,256,0.2223,43.3333,106.0000,206.0000,78.0000,111.0000
lognormal,1000000,32,14.2392,2598.0000,6599.0000,17035.0000,4230.6667,10181.0000
lognormal,1000000,64,3.8643,1038.0000,3550.0000,8952.0000,2180.0000,5013.0000
lognormal,1000000,128,1.9851,543.3750,1780.0000,4179.0000,987.0000,2501.0000
lognormal,1000000,256,1.0661,321.6667,865.0000,1841.0000,555.0000,991.0000
bimodal,10000,32,0.0388,65.0000,148.0000,233.0000,75.0000,91.5000
bimodal,10000,64,0.0167,37.0000,81.0000,137.0000,43.0000,49.0000
bimodal,10000,128,0.0072,18.0000,39.0000,80.0000,20.0000,24.0000
bimodal,10000,256,0.0034,9.0000,21.0000,35.0000,10.0000,12.5000
bimodal,100000,32,0.0420,304.8000,1068.0000,1866.0000,371.7500,577.0000
bimodal,100000,64,0.0190,149.0000,573.0000,1007.0000,189.0000,251.0000
bimodal,100000,128,0.0079,82.0000,293.0000,532.0000,98.0000,132.0000
bimodal,100000,256,0.0034,42.0000,153.0000,259.0000,49.0000,60.0000
bimodal,1000000,32,0.0433,695.3333,7267.0000,16649.0000,1020.7778,1291.0000
bimodal,1000000,64,0.0195,345.3333,3920.0000,9024.0000,488.0000,1410.5000
bimodal,1000000,128,0.0088,160.9286,1945.0000,4342.0000,272.0000,548.3333
bimodal,1000000,256,0.0039,95.3333,1031.0000,2200.0000,144.0000,287.0000

# CorrelatedHistogram2D
rho,n,bins,p50,p95,p99,max,p95_ci_lo,p95_ci_hi,indep_p95
0.00,10000,16,0.6667,7.0000,27.0000,1419.0000,8.0000,8.5873,8.0000
0.00,10000,32,0.2992,3.0000,11.2727,586.0000,3.0502,3.3590,3.7143
0.00,10000,64,0.1385,1.3043,5.2911,383.0000,1.4375,2.0000,2.0000
0.00,100000,16,0.7376,8.1807,34.0000,2882.0000,9.0301,9.9294,26.6667
0.00,100000,32,0.3384,3.2069,13.0000,3276.0000,3.4883,4.1942,15.3000
