# Canonical histogram baselines (MaxDiff + V-Optimal) @ B=128
baseline,dist,n,buckets,p50,p95,p99,max
maxdiff,uniform,10000,128,0.0103,0.0592,0.1429,3.0000
maxdiff,uniform,100000,128,0.0028,0.0180,0.0444,2.0000
maxdiff,uniform,1000000,128,0.0011,0.0061,0.0132,0.3158
maxdiff,gaussian,10000,128,0.3461,9.7877,114.5000,1885.0000
maxdiff,gaussian,100000,128,0.4023,23.1255,497.8235,11281.0000
maxdiff,gaussian,1000000,128,0.4527,75.5794,1451.0000,64807.0000
maxdiff,zipfian,10000,128,8.6781,19.3250,28.2000,2665.0000
maxdiff,zipfian,100000,128,8.8791,18.2494,21.3788,77.1062
maxdiff,zipfian,1000000,128,8.8664,18.2549,20.6053,44.5304
maxdiff,lognormal,10000,128,17.8750,1217.5000,3122.0000,6512.0000
maxdiff,lognormal,100000,128,66.1206,5753.7500,16858.0000,40367.0000
maxdiff,lognormal,1000000,128,309.6364,59263.0000,195853.0000,472365.0000
maxdiff,bimodal,10000,128,0.5366,1025.0000,2208.0000,3491.0000
maxdiff,bimodal,100000,128,0.4769,4256.8000,15119.0000,25836.0000
maxdiff,bimodal,1000000,128,0.4331,7044.2500,91781.0000,197748.0000
voptimal,uniform,10000,128,0.0075,0.0504,0.1304,3.0000
voptimal,uniform,100000,128,0.0022,0.0149,0.0393,2.0000
voptimal,uniform,1000000,128,0.0008,0.0051,0.0118,0.3684
voptimal,gaussian,10000,128,0.2921,9.9902,116.5333,1812.0000
voptimal,gaussian,100000,128,0.3185,25.7986,540.3500,11848.0000
voptimal,gaussian,1000000,128,0.3408,47.9114,1695.3636,73011.0000
voptimal,zipfian,10000,128,10.8498,23.6263,31.6154,190.0000
voptimal,zipfian,100000,128,10.9241,22.1913,25.9693,75.0000
voptimal,zipfian,1000000,128,10.8703,22.1660,25.0088,40.6667
voptimal,lognormal,10000,128,13.6794,940.0000,2406.0000,4984.0000
voptimal,lognormal,100000,128,50.3806,4404.0000,12833.0000,30734.0000
voptimal,lognormal,1000000,128,235.4525,44897.0000,148077.0000,356724.0000
voptimal,bimodal,10000,128,0.4622,864.0000,1863.0000,2953.0000
voptimal,bimodal,100000,128,0.3998,3685.0000,13102.0000,22425.0000
voptimal,bimodal,1000000,128,0.3565,6278.6000,81782.0000,176502.0000
102.07 sec, 55888 KB
